65 21.7558 [251, 133, 178, 92, 82, 178, 236, 178, 18, 165, 203, 20, 130, 0, 2, 16, 192, 0, 1, 16, 240, 2, 15, 176, 255, 31, 0, 64, 0, 1, 15, 48, 64, 232, 15, 26, 248, 2, 0, 64, 16, 35, 12, 234, 0, 14, 247, 41, 152, 116, 61, 4, 194, 250, 255, 255, 255, 124, 126, 190, 12, 43, 0, 222]
37 21 [212, 255, 255, 255, 241, 192, 1, 0, 129, 142, 5, 246, 241, 255, 255, 247, 223, 255, 255, 55, 12, 195, 0, 0, 0, 224, 255, 255, 8, 168, 56, 227, 95, 255, 255, 191, 255, 126, 243, 24, 230, 144, 3, 25, 177, 177, 136, 161, 144, 239, 118, 247, 251, 190, 187, 243, 255, 109, 100, 36, 18, 197, 148, 1]
41.9233 23 [107, 255, 255, 211, 16, 160, 225, 255, 239, 255, 59, 241, 193, 135, 255, 255, 255, 255, 237, 113, 207, 114, 8, 129, 119, 88, 200, 209, 255, 15, 48, 192, 59, 255, 255, 255, 255, 255, 243, 156, 199, 8, 241, 188, 0, 160, 7, 0, 224, 160, 247, 247, 255, 255, 251, 251, 217, 124, 118, 52, 130, 107, 40, 170]
76 21.0222 [255, 253, 255, 114, 240, 251, 179, 131, 1, 151, 63, 126, 144, 0, 150, 125, 246, 145, 100, 56, 128, 147, 252, 254, 147, 229, 127, 4, 0, 36, 31, 108, 32, 100, 158, 123, 12, 16, 74, 8, 33, 70, 60, 195, 51, 253, 150, 0, 144, 108, 255, 255, 162, 64, 111, 143, 128, 0, 0, 255, 60, 128, 198, 96]
94.2863 21.9262 [160, 123, 198, 233, 255, 255, 63, 0, 0, 132, 253, 254, 127, 255, 252, 35, 3, 12, 0, 160, 113, 143, 119, 124, 134, 67, 231, 238, 59, 109, 252, 227, 135, 29, 243, 252, 227, 204, 51, 159, 249, 35, 18, 191, 51, 227, 255, 255, 58, 13, 58, 29, 0, 32, 246, 255, 27, 4, 222, 111, 0, 234, 251, 255]
104.202 21 [11, 128, 60, 15, 2, 32, 239, 252, 60, 32, 114, 156, 255, 78, 0, 240, 236, 183, 207, 66, 6, 32, 128, 193, 252, 31, 14, 8, 118, 91, 134, 17, 66, 140, 124, 247, 189, 253, 223, 157, 255, 139, 96, 140, 196, 28, 240, 1, 174, 49, 0, 0, 250, 31, 90, 8, 176, 3, 64, 36, 128, 119, 126, 0]
119 21.2766 [252, 31, 195, 0, 0, 16, 96, 48, 160, 0, 12, 127, 124, 225, 4, 145, 255, 252, 193, 176, 207, 255, 6, 0, 0, 0, 16, 104, 32, 67, 20, 127, 108, 1, 192, 243, 255, 63, 231, 132, 255, 255, 7, 16, 0, 128, 103, 255, 127, 141, 226, 63, 4, 217, 78, 68, 148, 45, 159, 79, 18, 140, 12, 9]
124.708 21.8985 [1, 252, 255, 255, 243, 225, 131, 14, 14, 157, 59, 214, 145, 7, 63, 254, 252, 247, 207, 55, 136, 130, 32, 0, 0, 64, 218, 228, 255, 255, 119, 132, 57, 238, 61, 55, 8, 32, 138, 56, 192, 128, 11, 0, 0, 224, 119, 26, 254, 179, 205, 230, 227, 15, 3, 128, 246, 255, 97, 254, 63, 13, 0, 141]
157 24 [222, 0, 64, 252, 255, 127, 28, 0, 0, 128, 1, 32, 246, 255, 97, 130, 1, 0, 24, 248, 249, 205, 123, 254, 207, 15, 0, 128, 120, 227, 132, 243, 255, 255, 255, 255, 255, 228, 17, 2, 0, 48, 156, 231, 57, 102, 67, 94, 255, 130, 98, 243, 255, 255, 255, 247, 249, 124, 126, 17, 0, 0, 225, 250]
151.955 23.3615 [20, 120, 223, 239, 239, 195, 3, 0, 207, 255, 125, 231, 17, 159, 255, 239, 24, 65, 136, 253, 127, 239, 51, 14, 128, 0, 224, 227, 223, 31, 244, 198, 159, 255, 255, 255, 233, 128, 176, 247, 223, 255, 223, 57, 27, 167, 123, 219, 236, 0, 64, 243, 255, 255, 255, 255, 121, 0, 0, 192, 34, 200, 253, 91]
